created_at,text
Sat Oct 13 20:48:09 +0000 2018,WELCOME HOME PASTOR ANDREW BRUNSON! https://t.co/HijeAGU1gy
Sat Oct 13 20:42:22 +0000 2018,https://t.co/uIaENHQoPK
Sat Oct 13 17:52:26 +0000 2018,"Heading to the Great State of Kentucky - Big Rally for Congressman Andy Barr - Fantastic guy, need his vote for MAG… https://t.co/lij3Xifvbf"
Sat Oct 13 17:43:02 +0000 2018,Highly respected Congressman Keith Rothfus (R) of Pennsylvania is in the fight of his life because the Dems changed… https://t.co/BBhPq05XoC
Sat Oct 13 17:03:06 +0000 2018,“From a Turkish prison to the White House in 24 hours.”  Kristin Fisher of @FoxNews   Very cool!
Sat Oct 13 14:17:57 +0000 2018,There was NO DEAL made with Turkey for the release and return of Pastor Andrew Brunson. I don’t make deals for host… https://t.co/igiQXPfKSv
Sat Oct 13 14:06:26 +0000 2018,"Pastor Andrew Brunson, released by Turkey, will be with me in the Oval Office at 2:30 P.M. (this afternoon). It wil… https://t.co/j4x6lohKsr"
Sat Oct 13 13:31:27 +0000 2018,Happy 243rd Birthday to our GREAT @USNavy! #243NavyBday https://t.co/m1YtoKSHFw
Sat Oct 13 01:17:01 +0000 2018,"RT @realDonaldTrump: Don’t miss our GREAT @FLOTUS, Melania, on @ABC @ABC2020 tonight at 10pmE. Enjoy!"
Sat Oct 13 00:30:16 +0000 2018,"Beautiful MAKE AMERICA GREAT AGAIN rally in Lebanon, Ohio. Thank you! #ICYMI, watch here: https://t.co/UGQAmARPKR https://t.co/6nsoV8yTx3"
Fri Oct 12 22:14:44 +0000 2018,"The GREAT football (and lacrosse) player, Jim Brown outside the West Wing of the @WhiteHouse. He is also a tremendo… https://t.co/p7FLWOAg68"
Fri Oct 12 22:02:19 +0000 2018,https://t.co/HHTwwbuKa2
Fri Oct 12 21:30:27 +0000 2018,RT @WhiteHouse: https://t.co/IqLBKtgNEf
Fri Oct 12 19:37:27 +0000 2018,Happy #NationalFarmersDay! With the recent #USMCA our GREAT FARMERS will do better than ever before!! https://t.co/PMS4z2EScY
Fri Oct 12 19:10:51 +0000 2018,"Don’t miss our GREAT @FLOTUS, Melania, on @ABC @ABC2020 tonight at 10pmE. Enjoy!"
Fri Oct 12 18:09:17 +0000 2018,People have no idea how hard Hurricane Michael has hit the great state of Georgia. I will be visiting both Florida… https://t.co/YoYRIV22Ji
Fri Oct 12 16:43:13 +0000 2018,"PROMISES MADE, PROMISES KEPT! https://t.co/2lk8Fjspe4"
Fri Oct 12 15:57:52 +0000 2018,REGISTER TO VOTE! https://t.co/0pWiwCHGbh https://t.co/EOCLoJJ24B
Fri Oct 12 14:26:00 +0000 2018,PASTOR BRUNSON JUST RELEASED. WILL BE HOME SOON!
Fri Oct 12 13:59:06 +0000 2018,"My thoughts and prayers are with Pastor Brunson, and we hope to have him safely back home soon!"
Fri Oct 12 13:54:46 +0000 2018,"So nice, everyone wants Ivanka Trump to be the new United Nations Ambassador. She would be incredible, but I can al… https://t.co/Dab4lBqUNq"
Fri Oct 12 13:42:04 +0000 2018,Working very hard on Pastor Brunson!
Thu Oct 11 22:49:26 +0000 2018,"RT @FLGuard: There are serious communication issues in the Panhandle after #HurricaneMichael. If you are worried about someone, visit https…"
Thu Oct 11 22:14:23 +0000 2018,RT @WhiteHouse: President Trump provides an update on the response to Hurricane Michael: https://t.co/zmnHXKakYw
Thu Oct 11 17:23:27 +0000 2018,"RT @WhiteHouse: Moments ago, President Trump signed the Music Modernization Act, which will close loopholes in our digital royalty laws to…"
Thu Oct 11 16:21:53 +0000 2018,https://t.co/xJ9QYGMJXa
Thu Oct 11 14:43:33 +0000 2018,https://t.co/rsxEwbFZht
Thu Oct 11 14:41:01 +0000 2018,https://t.co/h47S6T9u8V
Thu Oct 11 03:44:00 +0000 2018,"Florida Highway Patrol Troopers are all en route to the Panhandle, from all across the state of Florida - to help t… https://t.co/FWP05H9NSv"
Thu Oct 11 01:35:15 +0000 2018,Thank you to @FEMA and all First Responders! #HurricaneMichael https://t.co/vwN8BbrkkJ
Thu Oct 11 01:33:21 +0000 2018,Thank you Jacksonville Sheriff’s Office! #HurricaneMichael https://t.co/fuy7stLMJI
Thu Oct 11 01:00:18 +0000 2018,"Massive overflow crowd tonight in Erie, Pennsylvania. THANK YOU to everyone who came out and joined us. Together, w… https://t.co/bUn2dwuE1X"
Thu Oct 11 00:52:29 +0000 2018,"Thank you Erie, Pennsylvania! Remember to get out and VOTE! #MAGA🇺🇸 https://t.co/X8IEW8h9qP"
Wed Oct 10 22:33:48 +0000 2018,RT @fema: It’s extremely important to keep sheltering in a safe place and to stay aware as #Michael continues to move inland! https://t.co/…
Wed Oct 10 22:33:37 +0000 2018,"RT @USNationalGuard: LIVE UPDATE: @AlabamaNG, @GeorgiaGuard, @FLGuard and @NCNationalGuard vehicles and personnel are staged and ready to p…"
Wed Oct 10 21:05:08 +0000 2018,"RT @WhiteHouse: Earlier today: President @realDonaldTrump, joined by Homeland Security @SecNielsen, listens as @FEMA_Brock briefs reporters…"
Wed Oct 10 21:01:55 +0000 2018,Couldn’t let these great people down. They have been lined up since last night - see you soon Pennsylvania! https://t.co/jSrsmncw85
Wed Oct 10 19:52:23 +0000 2018,"Departing the @WhiteHouse for Erie, Pennsylvania. I cannot disappoint the thousands of people that are there - and… https://t.co/f63EzMSJvE"
Wed Oct 10 17:39:59 +0000 2018,"RT @USATODAY: .@usatodayopinion: Democrats want to outlaw private health care plans, taking away freedom to choose plans while letting anyo…"
Wed Oct 10 16:52:17 +0000 2018,"RT @FLGuard: #HurricaneMichael is here, but so are we. Stay safe, Florida. #FloridaFirst #FLNGAlwaysThere https://t.co/e2rVNXFERp"
Wed Oct 10 16:43:12 +0000 2018,"RT @EricTrump: All my friends in Missouri, today is your LAST CHANCE to register to vote this November! It is very easy to do - simply go t…"
Wed Oct 10 16:05:55 +0000 2018,"We are with you Florida! https://t.co/qzrVLeFbyF
https://t.co/HVVhSmBg7S https://t.co/rcB6OCwLeH"
Wed Oct 10 13:01:05 +0000 2018,"Despite so many positive events and victories, Media Reseach Center reports that 92% of stories on Donald Trump are… https://t.co/YHfGjfMThn"
Wed Oct 10 12:50:56 +0000 2018,"RT @NHC_Surge: A destructive and life-threatening storm surge event will occur along portions of the Florida Panhandle, Big Bend, and Natur…"
Wed Oct 10 12:50:06 +0000 2018,"RT @FAANews: Due to #HurricaneMichael, flights in your area could be delayed and possibly cancelled. Please continue to check the status of…"
Wed Oct 10 12:49:08 +0000 2018,RT @FLSERT: Hurricane shelter locations are accessible from: https://t.co/Hop887IoiC #HurricaneMichael https://t.co/Ljk8boFaSw
Wed Oct 10 12:48:59 +0000 2018,"RT @NHC_Atlantic: Hurricane #Michael.  In addition to the life-threatening storm surge and wind impacts, heavy rainfall is expected across…"
Wed Oct 10 12:48:41 +0000 2018,RT @NHC_Atlantic: Hurricane force winds are expected to extend well inland over portions of the Florida Panhandle and portions of southeast…
Wed Oct 10 12:48:26 +0000 2018,"RT @NHC_Atlantic: A Storm Surge Warning remains in effect for much of the Florida Panhandle and Big Bend region, where life-threatening sto…"
Wed Oct 10 12:48:11 +0000 2018,RT @NHC_Atlantic: NHC Director Ken Graham will provide a Facebook Live broadcast regarding Category 4 Hurricane #Michael at 8:45 a.m. EDT (…
Wed Oct 10 12:47:57 +0000 2018,"RT @fema: As Hurricane #Michael nears land, take shelter &amp; stay safe.

📱Follow weather updates on your phone or radio.

🔹 In a tornado WARN…"
Wed Oct 10 12:47:01 +0000 2018,Walker Stapleton is running as the highly respected Republican Candidate for Governor of the Great State of Colorad… https://t.co/Q0sTaKwDlH
Wed Oct 10 02:28:10 +0000 2018,"RT @FLGovScott: If you’re in an evacuation zone, I am urging you to leave RIGHT NOW. Do not risk your life or the lives of your loved ones-…"
Wed Oct 10 01:23:49 +0000 2018,"THANK YOU IOWA &amp; NEBRASKA! VOTE, VOTE, VOTE! https://t.co/0pWiwCHGbh https://t.co/tzkiQ4IlEd"
Wed Oct 10 01:18:12 +0000 2018,https://t.co/CPf3oxgdRX
Wed Oct 10 01:09:41 +0000 2018,Beautiful evening in Iowa. GOD BLESS THE U.S.A.! #MAGA🇺🇸 https://t.co/Zi0rwyajrz
Tue Oct 09 22:18:13 +0000 2018,RT @fema: Flooding from Hurricane #Michael will affect several states. Finish preparations ASAP and get ready to shelter in a safe location…
Tue Oct 09 21:59:52 +0000 2018,RT @FLOTUS: Thank you Egypt 🇪🇬 🇺🇸 https://t.co/7i0POn29XN
Tue Oct 09 21:59:51 +0000 2018,RT @FLOTUS: Thank you Kenya 🇰🇪 🇺🇸 https://t.co/5FXP7Ki3Zw
Tue Oct 09 21:39:22 +0000 2018,.@FLGovScott has been relentless in securing the funding to fix the algae problem from Lake Okeechobee - we will so… https://t.co/6XMMjQ0V4v
Tue Oct 09 21:34:50 +0000 2018,"RT @Scavino45: Congratulations to our 114th Supreme Court Justice, Brett M. Kavanaugh! #SCOTUS🏛🇺🇸

🔟📸https://t.co/c3YdNNcU7c https://t.co/A…"
Tue Oct 09 19:08:57 +0000 2018,“President Donald J. Trump Approves Florida Emergency Declaration” https://t.co/TnTDCvs41W
Tue Oct 09 16:36:48 +0000 2018,REGISTER TO VOTE! https://t.co/0pWiwCHGbh https://t.co/3vYfDmpqiH
Tue Oct 09 16:07:03 +0000 2018,"FLORIDA - It is imperative that you heed the directions of your State and Local Officials. Please be prepared, be c… https://t.co/wPghUO1OF2"
Tue Oct 09 16:00:05 +0000 2018,"...Looks to be a Cat. 3 which is even more intense than Florence. Good news is, the folks in the Pan Handle can tak… https://t.co/60JuUt9tp9"
Tue Oct 09 16:00:04 +0000 2018,"Hurricane on its way to the Florida Pan Handle with major elements arriving tomorrow. Could also hit, in later stag… https://t.co/xycrRUIBTh"
Tue Oct 09 14:18:47 +0000 2018,Big announcement with my friend Ambassador Nikki Haley in the Oval Office at 10:30am.
Tue Oct 09 13:23:21 +0000 2018,RT @realDonaldTrump: https://t.co/4ySIkmfllE
Tue Oct 09 13:10:01 +0000 2018,"Will be going to Iowa tonight for Rally, and more! The Farmers (and all) are very happy with USMCA!"
Tue Oct 09 12:37:55 +0000 2018,Great evening last night at the White House honoring Justice Kavanaugh and family. Our country is very proud of them!
Tue Oct 09 12:32:46 +0000 2018,"The paid D.C. protesters are now ready to REALLY protest because they haven’t gotten their checks - in other words,… https://t.co/3es06u6W6e"
Tue Oct 09 12:19:53 +0000 2018,"RT @NWSTallahassee: 8am Intermediate Advisory from @NHC_Atlantic upgrades #HurricaneMichael into a category 2 hurricane. Keep in mind, wind…"
Tue Oct 09 12:18:39 +0000 2018,"RT @fema: ⚠️If you're told to evacuate for Hurricane #Michael, don't delay. Leave as soon as possible. 

Listen to @FLSERT and local offici…"
Tue Oct 09 01:34:56 +0000 2018,https://t.co/4ySIkmfllE
Mon Oct 08 23:43:34 +0000 2018,https://t.co/k2bOxapRtR
Mon Oct 08 19:44:49 +0000 2018,Great to see @AGPamBondi launch a cutting-edge statewide school safety APP in Florida today - named by Parkland Sur… https://t.co/4PBXblZ0JW
Mon Oct 08 19:37:36 +0000 2018,"Every day, our police officers race into darkened allies, deserted streets, &amp; onto the doorsteps of the most harden… https://t.co/oaai3FVg0o"
Mon Oct 08 19:27:41 +0000 2018,We thank you. We salute you. We honor you. And we promise you: we will ALWAYS have your BACK – now and FOREVER!… https://t.co/RnvDOTLvu8
Mon Oct 08 18:57:07 +0000 2018,America’s police officers have earned the everlasting gratitude of our Nation. In moments of danger &amp; despair you a… https://t.co/movE69yT0F
Mon Oct 08 18:32:51 +0000 2018,"It was my great honor to address the International Association of Chiefs of Police Annual Convention in Orlando, Fl… https://t.co/FjZmjHo9CT"
Mon Oct 08 15:31:51 +0000 2018,"Departing Washington, D.C. for the International Association of Chiefs of Police Annual Convention in Orlando, Flor… https://t.co/HNDU0DuCnA"
Mon Oct 08 13:36:11 +0000 2018,Christopher Columbus’s spirit of determination &amp; adventure has provided inspiration to generations of Americans. On… https://t.co/tIXXwhxDci
Sun Oct 07 18:15:22 +0000 2018,RT @FLOTUS: Thank you Kenya 🇰🇪 🇺🇸 https://t.co/JrHncob8Qp
Sun Oct 07 14:42:25 +0000 2018,.@SecPompeo had a good meeting with Chairman Kim today in Pyongyang. Progress made on Singapore Summit Agreements!… https://t.co/kzwV5wAVSq
Sun Oct 07 01:21:22 +0000 2018,"You don’t hand matches to an arsonist, and you don’t give power to an angry left-wing mob. Democrats have become to… https://t.co/VB23FlFvOT"
Sun Oct 07 01:15:00 +0000 2018,"Beautiful evening in Topeka, Kansas. VOTE, VOTE, VOTE! #MAGA https://t.co/bomRqsaYfm"
Sun Oct 07 00:49:56 +0000 2018,"Thank you Kansas - I love you! 
https://t.co/ymCFNr9WQY"
Sat Oct 06 21:57:09 +0000 2018,"The crowd in front of the U.S. Supreme Court is tiny, looks like about 200 people (&amp; most are onlookers) - that wou… https://t.co/K0175DLRAK"
Sat Oct 06 20:15:30 +0000 2018,"I applaud and congratulate the U.S. Senate for confirming our GREAT NOMINEE, Judge Brett Kavanaugh, to the United S… https://t.co/573HIDggVn"
Sat Oct 06 20:06:01 +0000 2018,"I have asked Steve Daines, our great Republican Senator from Montana, to attend his daughter Annie’s wedding rather… https://t.co/3cvHEGT5QS"
Sat Oct 06 16:08:57 +0000 2018,"Women for Kavanaugh, and many others who support this very good man, are gathering all over Capitol Hill in prepara… https://t.co/lrE7vMwl8k"
Sat Oct 06 03:46:07 +0000 2018,"RT @realDonaldTrump: Thank you Minnesota - I love you!
https://t.co/eQC2NqdIil"
Fri Oct 05 21:29:54 +0000 2018,RT @FLOTUS: Thank you Malawi! 🇺🇸 🇲🇼 https://t.co/rE03LMNzOZ
Fri Oct 05 21:29:49 +0000 2018,RT @FLOTUS: Thank you Ghana! 🇺🇸 🇬🇭 https://t.co/d34cqFyRdN
Fri Oct 05 14:59:41 +0000 2018,Very proud of the U.S. Senate for voting “YES” to advance the nomination of Judge Brett Kavanaugh!
Fri Oct 05 13:06:08 +0000 2018,Just out: 3.7% Unemployment is the lowest number since 1969!
Fri Oct 05 13:03:06 +0000 2018,The very rude elevator screamers are paid professionals only looking to make Senators look bad. Don’t fall for it!… https://t.co/2In7zzWHoS
Fri Oct 05 11:28:02 +0000 2018,"RT @newsobserver: Presidential adviser and daughter @IvankaTrump will make 3 stops in NC to see hurricane relief efforts, thank first respo…"
Fri Oct 05 11:25:42 +0000 2018,"RT @Scavino45: 🚨Happening Now | 2:08amE; Our great @FLOTUS, Melania Trump...visiting a Kenyan elephant orphanage...https://t.co/rW2cWXaswf"
Fri Oct 05 01:03:25 +0000 2018,"Beautiful evening in Rochester, Minnesota. VOTE, VOTE, VOTE! https://t.co/SyxrxvTpZE"
Fri Oct 05 00:52:20 +0000 2018,"Thank you Minnesota - I love you!
https://t.co/eQC2NqdIil"
Thu Oct 04 22:58:21 +0000 2018,Just made my second stop in Minnesota for a MAKE AMERICA GREAT AGAIN rally. We need to elect @KarinHousley to the U… https://t.co/rOGv3fAwzV
Thu Oct 04 22:17:48 +0000 2018,Congressman Bishop is doing a GREAT job! He helped pass tax reform which lowered taxes for EVERYONE! Nancy Pelosi i… https://t.co/g6kT6INueQ
Thu Oct 04 19:29:27 +0000 2018,“U.S. Stocks Widen Global Lead” https://t.co/Snhv08ulcO
